repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
facebookresearch/nougat,Applications,Info aggregation,7892,9,0.11%,60,0.76%,498,Implementation of Nougat Neural Optical Understanding for Academic Documents,"lukas-blecher, rajveer43, erip",14,2023-06-07,2023-09-18,86700
danswer-ai/danswer,Applications,Info aggregation,8919,9,0.10%,81,0.91%,934,Gen-AI Chat for Teams - Think ChatGPT if it had access to your team's unique knowledge.,"Weves, yuhongsun96, ssddanbrown",58,2023-04-27,2024-04-04,0
hpcaitech/ColossalAI,Model development,Modeling & training,37616,8,0.02%,89,0.24%,4218,"Making large AI models cheaper, faster and more accessible","FrankLeeeee, ver217, feifeibear",100+,2021-10-28,2024-03-27,0
kyrolabs/awesome-langchain,Tutorials,,6522,8,0.12%,52,0.80%,441,😎 Awesome list of tools and projects with the awesome LangChain framework,"sbusso, MCKevmeister, seawatts",42,2023-02-28,2024-03-19,0
steven2358/awesome-generative-ai,Lists,,4487,8,0.18%,75,1.67%,463,A curated list of modern Generative Artificial Intelligence projects and services,"steven2358, sonoroboto, engineer-taro",43,2022-10-20,2024-02-20,0
leon-ai/leon,Applications,Bots,14451,8,0.06%,29,0.20%,1184,🧠 Leon is your open-source personal assistant.,"louistiti, theoludwig, iifeoluwa",18,2019-02-10,1000-01-01,38319
BlinkDL/RWKV-LM,Model repo,,11447,8,0.07%,52,0.45%,789,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding.","BlinkDL, www, saharNooby",5,2021-08-08,2023-10-05,580
clovaai/donut,Model repo,Multimodal,5188,8,0.15%,28,0.54%,412,"Official Implementation of OCR-free Document Understanding Transformer (Donut) and Synthetic Document Generator (SynthDoG), ECCV 2022","gwkrsrch, moonbings, eltociear",7,2022-07-20,2022-10-05,0
BuilderIO/gpt-crawler,Model development,Dataset engineering,17467,8,0.05%,94,0.54%,1760,Crawl a site to generate knowledge files to create your own custom GPT from a URL,"steve8708, marcelovicentegc, guillermoscript",25,2023-11-14,2024-02-26,0
TencentARC/GFPGAN,Model repo,,34416,8,0.02%,82,0.24%,5657,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,"xinntao, amckenna41, AK391",11,2021-03-19,2022-02-14,5235104
THUDM/CodeGeeX2,Model repo,,6936,8,0.12%,80,1.15%,475,CodeGeeX2: A More Powerful Multilingual Code Generation Model,"Stanislas0, donjuanplatinum, AreChen",7,2023-07-23,2023-08-11,0
google-research/google-research,Model development,Modeling & training,32642,8,0.02%,64,0.20%,7666,Google Research,"joel-shor, rybakov, vratnakar",100+,2018-10-04,1000-01-01,0
deanxv/coze-discord-proxy,AI engineering,AI interface,2440,8,0.33%,126,5.16%,756,代理Discord对话Coze-Bot，实现以API形式请求GPT4模型，提供对话、文生图、图生文、知识库检索等功能。,"deanxv, k8scat",2,2024-01-26,2024-02-06,717
FlagOpen/FlagEmbedding,Model development,Modeling & training,4460,8,0.18%,140,3.14%,294,Retrieval and Retrieval-augmented LLMs,"staoxiao, namespace-Pt, 545999961",30,2023-08-02,2024-04-02,0
defog-ai/sqlcoder,Applications,Coding,2609,8,0.31%,30,1.15%,160,SoTA LLM for converting natural language questions to SQL queries,"rishsriv, wendy-aw, durgesh-rathod-sf",5,2023-08-17,2024-02-05,0
Mikubill/sd-webui-controlnet,Applications,Image production,15672,8,0.05%,57,0.36%,1835,WebUI extension for ControlNet,"lllyasviel, Mikubill, huchenlei",89,2023-02-12,2024-04-01,0
THUDM/CogVLM,Model repo,Multimodal,4783,8,0.17%,75,1.57%,331,a state-of-the-art-level open visual language model | 多模态预训练模型,"zRzRzRzRzRzRzR, 1049451037, wenyihong",17,2023-09-18,2024-03-15,0
Lightning-AI/litgpt,Model development,Modeling & training,5665,8,0.14%,259,4.57%,602,"Hackable implementation of state-of-the-art open-source LLMs based on nanoGPT. Supports flash attention, 4-bit and 8-bit quantization, LoRA and LLaMA-Adapter fine-tuning, pre-training. Apache 2.0-licensed.","carmocca, awaelchli, rasbt",63,2023-05-04,2024-04-04,0
aurelio-labs/semantic-router,AI engineering,AIE framework,1175,8,0.68%,54,4.60%,123,Superfast AI decision making and intelligent processing of multi-modal data.,"jamescalam, simjak, Siraj-Aizlewood",21,2023-10-30,2024-04-03,0
KimMeen/Time-LLM,AI engineering,AIE framework,522,8,1.53%,49,9.39%,85,"[ICLR 2024] Official implementation of "" 🦙 Time-LLM: Time Series Forecasting by Reprogramming Large Language Models""","KimMeen, qingsongedu, kwuking",5,2024-01-20,2024-03-18,0
3DTopia/LGM,Model repo,Multimodal,1096,7,0.64%,26,2.37%,71,LGM: Large Multi-View Gaussian Model for High-Resolution 3D Content Creation.,"ashawkey, brentyi, laz-kaedim",3,2024-02-06,2024-02-29,0
salesforce/LAVIS,Model development,Modeling & training,8555,7,0.08%,54,0.63%,850,LAVIS - A One-stop Library for Language-Vision Intelligence,"dxli94, henryhungle, artemisp",22,2022-08-24,2023-12-12,0
Bin-Huang/chatbox,Applications,Bots,18075,7,0.04%,127,0.70%,1863,"Chatbox is a desktop client for ChatGPT, Claude and other LLMs, available on Windows, Mac, Linux","Bin-Huang, hiNISAL, joegoldin",28,2023-03-06,2023-12-28,451318
google/jax,Model development,Modeling & training,27659,7,0.03%,137,0.50%,2522,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more","hawkinsp, mattjj, jakevdp",100+,2018-10-25,2024-04-04,0
huggingface/tokenizers,Model development,Dataset engineering,8310,7,0.08%,30,0.36%,698,💥 Fast State-of-the-Art Tokenizers optimized for Research and Production,"n1t0, Narsil, Pierrci",83,2019-11-01,2024-03-30,33
THUDM/ChatGLM-6B,Model repo,Multilingual,38897,7,0.02%,126,0.32%,5053,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,"duzx16, rainatam, Xiao9905",45,2023-03-13,2023-03-17,0
InternLM/InternLM-XComposer,Model repo,Multimodal,1380,7,0.51%,38,2.75%,84,InternLM-XComposer2 is a groundbreaking vision-language large model (VLLM) excelling in free-form text-image composition and comprehension. ,"panzhang0212, myownskyW7, xiaoachen98",14,2023-09-26,2024-02-23,0
run-llama/rags,Applications,Info aggregation,5786,7,0.12%,42,0.73%,574,"Build ChatGPT over your data, all with natural language","jerryjliu, alexfilothodoros, anoopshrma",5,2023-11-16,2023-12-05,0
huggingface/trl,Model development,Modeling & training,7827,7,0.09%,74,0.95%,926,Train transformer language models with reinforcement learning.,"younesbelkada, lvwerra, lewtun",100+,2020-03-27,2024-04-03,0
openai/triton,Model development,Inference optimization,10682,7,0.07%,107,1.00%,1231,Development repository for the Triton language and compiler,"ptillet, Jokeren, ThomasRaoux",100+,2014-08-30,2024-04-04,0
QwenLM/Qwen,Model repo,,10313,7,0.07%,157,1.52%,844,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,"JustinLin610, yangapku, JianxinMa",31,2023-08-03,2024-03-15,0
xlang-ai/OpenAgents,Applications,Workflow automation,3343,7,0.21%,26,0.78%,327,OpenAgents: An Open Platform for Language Agents in the Wild,"taoyds, Timothyxxx, BlankCheng",16,2023-08-08,2024-01-04,0
UKPLab/sentence-transformers,Model repo,Multilingual,13555,7,0.05%,68,0.50%,2305,Multilingual Sentence & Image Embeddings with BERT,"nreimers, tomaarsen, PhilipMay",100+,2019-07-24,2024-04-04,0
OthersideAI/self-operating-computer,Applications,Workflow automation,6867,7,0.10%,50,0.73%,933,A framework to enable multimodal models to operate a computer.,"joshbickett, michaelhhogue, klxu03",23,2023-11-04,2024-03-20,0
trypromptly/LLMStack,AI engineering,AIE framework,1045,7,0.67%,50,4.78%,165,"No-code platform to build LLM Agents, workflows and applications with your data","ajhai, vegito22, Balu-Varanasi",8,2023-08-06,2024-04-04,0
mozilla/DeepSpeech,Model development,Modeling & training,24139,7,0.03%,49,0.20%,3869,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers.","reuben, lissyx, kdavis-mozilla",100+,2016-06-02,2020-07-23,1121459
QwenLM/Qwen-Agent,AI engineering,Agent,1469,7,0.48%,60,4.08%,164,"Agent framework and applications built upon Qwen1.5, featuring Function Calling, Code Interpreter, RAG, and Chrome extension.","tuhahaha, JianxinMa, zhenruzhang",11,2023-09-22,2024-02-22,0
tracel-ai/burn,Model development,Modeling & training,6819,7,0.10%,88,1.29%,300,"Burn is a new comprehensive dynamic Deep Learning Framework built using Rust with extreme flexibility, compute efficiency and portability as its primary goals.","nathanielsimard, antimora, louisfd",89,2022-07-18,2024-04-04,0
unum-cloud/usearch,Infrastructure,VectorDB,1577,7,0.44%,27,1.71%,82,"Fast Open-Source Search & Clustering engine × for Vectors & 🔜 Strings × in C++, C, Python, JavaScript, Rust, Java, Objective-C, Swift, C#, GoLang, and Wolfram 🔍","ashvardanian, gurgenyegoryan, mgevor",35,2023-02-22,2024-04-03,835
gptscript-ai/gptscript,Applications,Coding,2383,7,0.29%,60,2.52%,211,Natural Language Programming,"ibuildthecloud, njhale, vincent99",23,2024-01-29,2024-04-04,2160
karpathy/minbpe,Model development,Dataset engineering,7790,7,0.09%,42,0.54%,670,"Minimal, clean code for the Byte Pair Encoding (BPE) algorithm commonly used in LLM tokenization.","karpathy, ViswanathaReddyGajjala, ahmedivy",9,2024-02-16,2024-02-26,0
NVIDIA/NeMo-Guardrails,AI engineering,Prompt engineering,3260,7,0.21%,30,0.92%,278,NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems.,"drazvan, schuellc-nvidia, trebedea",41,2023-04-18,2024-04-01,0
guoyww/AnimateDiff,Model repo,,8491,7,0.08%,90,1.06%,688,Official implementation of AnimateDiff.,"guoyww, AnyiRao, limbo0000",5,2023-06-17,2023-07-19,0
RUCAIBox/LLMSurvey,Lists,,8279,7,0.08%,164,1.98%,631,"The official GitHub page for the survey paper ""A Survey of Large Language Models"".","EliverQ, StevenTang1998, hyp1231",13,2023-03-14,2023-08-31,0
tensorchord/pgvecto.rs,Infrastructure,VectorDB,1318,7,0.53%,67,5.08%,50,"Scalable, Low-latency and Hybrid-enabled Vector Search in Postgres. Revolutionize Vector Search, not Database.","usamoi, kemingy, VoVAllen",17,2023-04-15,2024-04-03,869
kubeflow/kubeflow,Infrastructure,Compute management,13604,7,0.05%,31,0.23%,2283,Machine Learning Toolkit for Kubernetes,"jlewi, kunmingg, lluunn",100+,2017-11-30,2024-03-14,79387
bytedance/res-adapter,Model development,Modeling & training,550,7,1.27%,45,8.18%,19,"Official implementation of ""ResAdapter: Domain Consistent Resolution Adapter for Diffusion Models"".","jiaxiangc, chenxwh, AMEERAZAM08",5,2024-02-27,2024-03-31,0
mlfoundations/open_clip,Model repo,,8196,6,0.07%,48,0.59%,826,An open source implementation of CLIP.,"rwightman, rom1504, gabrielilharco",47,2021-07-28,2024-03-24,327134
facebookresearch/xformers,Model development,Modeling & training,7415,6,0.08%,39,0.53%,519,"Hackable and optimized Transformers building blocks, supporting a composable construction.","blefaudeux, danthe3rd, bottler",77,2021-10-13,2024-04-04,0
yl4579/StyleTTS2,Model repo,Multimodal,3928,6,0.15%,72,1.83%,272,StyleTTS 2: Towards Human-Level Text-to-Speech through Style Diffusion and Adversarial Training with Large Speech Language Models,"yl4579, fakerybakery, kmn1024",11,2023-06-14,2024-03-07,0
camenduru/stable-diffusion-webui-colab,Applications,Image production,15164,6,0.04%,29,0.19%,2553,stable diffusion webui colab,"camenduru, anuragrajput40904, etherealxx",14,2022-10-05,2023-06-26,546022
lilacai/lilac,Model development,Dataset engineering,794,6,0.76%,29,3.65%,62,Curate better data for LLMs,"nsthorat, dsmilkov, brilee",10,2023-03-23,2024-03-11,72
promptfoo/promptfoo,AI engineering,Prompt engineering,2279,6,0.26%,41,1.80%,136,"Test your prompts, models, RAGs. Evaluate and compare LLM outputs, catch regressions, and improve prompt quality. LLM evals for OpenAI/Azure GPT, Anthropic Claude, VertexAI Gemini, Ollama, Local & private models like Mistral/Mixtral/Llama with CI/CD","typpo, streichsbaer, greysteil",37,2023-04-28,2024-04-04,0
bigscience-workshop/petals,Model development,Inference optimization,8590,6,0.07%,28,0.33%,456,"🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading","borzunov, justheuristic, dbaranchuk",14,2022-06-12,2024-03-29,0
MuiseDestiny/zotero-gpt,Applications,Info aggregation,4064,6,0.15%,35,0.86%,168,GPT Meet Zotero.,"MuiseDestiny, windingwind, zfb132",9,2023-03-28,2023-06-24,175468
skypilot-org/skypilot,Infrastructure,Compute management,5502,6,0.11%,36,0.65%,374,"SkyPilot: Run LLMs, AI, and Batch jobs on any cloud. Get maximum savings, highest GPU availability, and managed execution—all with a simple interface.","Michaelvll, concretevitamin, romilbhardwaj",69,2021-08-11,2024-04-04,0
google/gemma_pytorch,Model repo,Multimodal,4935,6,0.12%,51,1.03%,450,The official PyTorch implementation of Google's Gemma models,"pengchongjin, Mon-ius, michaelmoynihan",10,2024-02-20,2024-03-21,0
allenai/OLMo,Model repo,,3700,6,0.16%,55,1.49%,337,"Modeling, training, eval, and inference code for OLMo","epwalsh, dirkgr, soldni",29,2023-02-20,2024-04-03,45
THUDM/ChatGLM2-6B,Model repo,Multilingual,15384,6,0.04%,29,0.19%,1824,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型,"duzx16, qinjx, hiyouga",11,2023-06-24,2023-08-28,0
InternLM/lmdeploy,Infrastructure,Serving,2125,6,0.28%,38,1.79%,188,"LMDeploy is a toolkit for compressing, deploying, and serving LLMs.","lvhan028, AllentDan, grimoire",43,2023-06-15,2024-04-04,85
ymcui/Chinese-LLaMA-Alpaca,Model repo,Multilingual,16970,6,0.04%,57,0.34%,1754,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs),"ymcui, airaria, iMountTai",11,2023-03-15,2023-07-18,0
ashishpatel26/LLM-Finetuning,Tutorials,,1555,6,0.39%,47,3.02%,425,LLM Finetuning with peft,ashishpatel26,1,2023-06-08,1000-01-01,0
khoj-ai/khoj,Applications,Info aggregation,4686,6,0.13%,34,0.73%,229,"Your AI second brain. A copilot to search and chat (using RAG) with your knowledge base (pdf, markdown, org). Use powerful, online (e.g gpt4) or private, offline (e.g mistral) LLMs. Self-host locally or have it always accessible on the cloud. Access from Obsidian, Emacs, Desktop app, Web or Whatsapp","debanjum, sabaimran, Comprehensive-Jason",23,2021-08-16,2024-04-03,36243
mindsdb/mindsdb,AI engineering,AIE framework,21060,6,0.03%,525,2.49%,2670,The platform for customizing AI from enterprise data,"StpMax, ZoranPandovski, George3d6",100+,2018-08-02,2024-04-04,0
rustformers/llm,AI engineering,AIE framework,5799,6,0.10%,26,0.45%,332,An ecosystem of Rust libraries for working with large language models,"philpax, LLukas22, danforbes",47,2023-03-13,2023-12-12,889
openvinotoolkit/openvino,Infrastructure,Serving,5787,6,0.10%,52,0.90%,1980,OpenVINO™ is an open-source toolkit for optimizing and deploying AI inference,"ilya-lavrenov, ilyachur, rkazants",100+,2018-10-15,2024-04-04,256
langchain-ai/langchainjs,AI engineering,AIE framework,10616,6,0.06%,87,0.82%,1745,🦜🔗 Build context-aware reasoning applications 🦜🔗,"jacoblee93, nfcampos, bracesproul",100+,2023-02-06,2024-03-14,0
fauxpilot/fauxpilot,Applications,Coding,14172,6,0.04%,24,0.17%,601,FauxPilot - an open-source alternative to GitHub Copilot server,"moyix, fdegier, leemgs",13,2022-08-03,2024-02-07,0
greshake/llm-security,AI engineering,Prompt engineering,1628,6,0.37%,6,0.37%,101,New ways of breaking app-integrated LLMs ,"greshake, shhra, eltociear",3,2023-02-19,2023-04-24,0
Sanster/lama-cleaner,Applications,Image production,16553,6,0.04%,74,0.45%,1651,"Image inpainting tool powered by SOTA AI Model. Remove any unwanted object, defect, people from your pictures or erase and replace(powered by stable diffusion) any thing on your pictures.","Sanster, blessedcoolant, loretoparisi",15,2021-11-15,2024-03-21,1143
confident-ai/deepeval,AI engineering,Evals,1568,6,0.38%,60,3.83%,102,The LLM Evaluation Framework,"penguine-ip, ColabDog, Anindyadeep",29,2023-08-10,2024-04-04,0
sgl-project/sglang,AI engineering,Prompt engineering,2134,6,0.28%,64,3.00%,123,SGLang is a structured generation language designed for large language models (LLMs). It makes your interaction with models faster and more controllable.,"merrymercy, hnyls2002, comaniac",33,2024-01-08,2024-04-03,0
guidance-ai/guidance,AI engineering,Prompt engineering,17017,6,0.04%,82,0.48%,937,A guidance language for controlling large language models.,"slundberg, marcotcr, riedgar-ms",61,2022-11-10,2024-04-04,0
katanaml/sparrow,Applications,Workflow automation,1224,6,0.49%,31,2.53%,180,Data processing with ML and LLM,"abaranovskis-redsamurai, MaxAtApplied, MaxAtMPC",4,2022-01-08,2023-07-01,0
lucidrains/denoising-diffusion-pytorch,Model repo,,6813,6,0.09%,49,0.72%,877,Implementation of Denoising Diffusion Probabilistic Model in Pytorch,"lucidrains, Adversarian, lukovnikov",19,2020-08-26,2024-02-28,0
nerfstudio-project/nerfstudio,Model development,Modeling & training,8362,6,0.07%,58,0.69%,1085,A collaboration friendly studio for NeRFs,"tancik, evonneng, ethanweber",100+,2022-05-31,2024-04-03,0
openai/transformer-debugger,Model development,Modeling & training,3595,6,0.17%,64,1.78%,204,,"henktillman, stevenbills, WuTheFWasThat",10,2024-03-11,2024-03-19,0
microsoft/TypeChat,AI engineering,Prompt engineering,7719,5,0.06%,55,0.71%,362,TypeChat is a library that makes it easy to build natural language interfaces using types.,"DanielRosenwasser, steveluc, umeshma",29,2023-06-20,2024-04-03,0
open-mmlab/mmdetection,Model development,Modeling & training,27545,5,0.02%,76,0.28%,9170,OpenMMLab Detection Toolbox and Benchmark,"hellock, hhaAndroid, ZwwWayne",100+,2018-08-22,2023-09-18,0
guardrails-ai/guardrails,AI engineering,Prompt engineering,3205,5,0.16%,47,1.47%,225,Adding guardrails to large language models.,"zsimjee, CalebCourier, ShreyaR",41,2023-01-29,2024-04-04,0
getumbrel/llama-gpt,Applications,Bots,10222,5,0.05%,42,0.41%,646,"A self-hosted, offline, ChatGPT-like chatbot. Powered by Llama 2. 100% private, with no data leaving your device. New: Code Llama support!","mckaywrigley, mayankchhabra, thomasleveil",92,2023-07-22,2023-10-09,0
LAION-AI/Open-Assistant,Applications,Bots,36557,5,0.01%,30,0.08%,3184,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.","yk, fozziethebeat, andreaskoepf",100+,2022-12-13,2023-06-13,0
ashawkey/stable-dreamfusion,Model repo,Multimodal,7744,5,0.06%,29,0.37%,692,Text-to-3D & Image-to-3D & Mesh Exportation with NeRF + Diffusion.,"ashawkey, claforte, abesmon",17,2022-10-06,2023-05-17,0
openai/guided-diffusion,Model repo,Multimodal,5480,5,0.09%,41,0.75%,741,,"unixpickle, LeeDoYup, prafullasd",5,2021-04-27,2022-07-15,0
openai-translator/openai-translator,Applications,Workflow automation,22263,5,0.02%,68,0.31%,1610,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,"yetone, maltoze, OverflowCat",80,2023-03-04,2024-04-04,1211580
facebookresearch/jepa,Model repo,,2254,5,0.22%,48,2.13%,193,PyTorch code and models for V-JEPA self-supervised learning from video.,"MidoAssran, bryant1410, orena1",5,2024-02-12,2024-03-01,0
langroid/langroid,AI engineering,Agent,1402,5,0.36%,51,3.64%,139,Harness LLMs with Multi-Agent Programming,"pchalasani, Mohannadcse, nilspalumbo",11,2023-04-16,2024-03-30,1086
lucidrains/vit-pytorch,Model repo,,17670,5,0.03%,65,0.37%,2739,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch","lucidrains, zankner, developer0hye",20,2020-10-03,2023-10-24,0
openai/jukebox,Model repo,Multimodal,7542,5,0.07%,11,0.15%,1365,"Code for the paper ""Jukebox: A Generative Model for Music""","prafullasd, heewooj, jongwook",7,2020-04-29,2020-11-12,0
BloopAI/bloop,Applications,Coding,8512,5,0.06%,37,0.43%,502,bloop is a fast code search engine written in Rust.,"anastasiya1155, ggordonhall, rsdy",24,2022-12-10,2024-04-03,41678
yihong0618/xiaogpt,AI engineering,AI interface,5004,5,0.10%,41,0.82%,716,Play ChatGPT and other LLM with Xiaomi AI Speaker,"yihong0618, frostming, pjq",38,2023-02-16,2024-03-12,0
jackmpcollins/magentic,AI engineering,Prompt engineering,1557,5,0.32%,18,1.16%,60,Seamlessly integrate LLMs as Python functions,"jackmpcollins, pachacamac, mnicstruwig",5,2023-06-18,2024-03-29,0
magic-research/magic-animate,Model repo,Multimodal,9697,5,0.05%,46,0.47%,972,[CVPR 2024] MagicAnimate: Temporally Consistent Human Image Animation using Diffusion Model,zcxu-eric,1,2023-11-21,1000-01-01,0
state-spaces/s4,Model repo,,2033,5,0.25%,27,1.33%,248,Structured state space sequence models,"albertfgu, krandiash, ad12",8,2021-11-03,2023-07-11,0
huggingface/datasets,Model development,Dataset engineering,18299,5,0.03%,41,0.22%,2489,"🤗 The largest hub of ready-to-use datasets for ML models with fast, easy-to-use and efficient data manipulation tools","lhoestq, albertvillanova, mariosasko",100+,2020-03-26,2024-04-02,0
jeinlee1991/chinese-llm-benchmark,AI engineering,Evals,1145,5,0.44%,63,5.50%,59,中文大模型能力评测榜单：覆盖百度文心一言、chatgpt、阿里通义千问、讯飞星火、belle / chatglm6b 等开源大模型，多维度能力评测。不仅提供能力评分排行榜，也提供所有模型的原始输出结果！,jeinlee1991,1,2023-06-04,1000-01-01,0
Chanzhaoyu/chatgpt-web,Applications,Bots,30226,5,0.02%,78,0.26%,11104,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,"Chanzhaoyu, PeterDaveHello, yi-ge",75,2023-02-09,2024-03-11,0
Docta-ai/docta,Model development,Dataset engineering,2934,5,0.17%,62,2.11%,170,A Doctor for your data,"zwzhu-d, weijiaheng",2,2023-05-02,1000-01-01,0
triton-inference-server/server,Infrastructure,Serving,7205,5,0.07%,30,0.42%,1358,The Triton Inference Server provides an optimized cloud and edge inferencing solution. ,"GuanLuo, tanmayv25, CoderHam",100+,2018-10-04,2024-04-01,205737
datawhalechina/prompt-engineering-for-developers,Tutorials,,8816,5,0.06%,118,1.34%,1054,面向开发者的 LLM 入门教程，吴恩达大模型系列课程中文版,"logan-zou, Beyondzjl, xuhu0115",31,2023-04-28,2024-03-17,4491
Netflix/metaflow,Infrastructure,Compute management,7516,5,0.07%,18,0.24%,704,":rocket: Build and manage real-life ML, AI, and data science projects with ease!","savingoyal, romain-intel, saikonen",80,2019-09-17,2024-04-02,0
PromtEngineer/localGPT,Applications,Info aggregation,18974,5,0.03%,58,0.31%,2097,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private. ,"PromtEngineer, imjwang, LeafmanZ",42,2023-05-24,2024-02-28,0
Mooler0410/LLMsPracticalGuide,Tutorials,,8358,5,0.06%,42,0.50%,627,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)","Mooler0410, JingfengYang, trx14",13,2023-04-23,2023-08-06,0
google-research/big_vision,Model development,Modeling & training,1503,5,0.33%,20,1.33%,100,"Official codebase used to develop Vision Transformer, SigLIP, MLP-Mixer, LiT and more.","akolesnikoff, andsteing, lucasb-eyer",11,2022-04-04,2024-03-21,0
easydiffusion/easydiffusion,Applications,Image production,9008,5,0.06%,44,0.49%,750,"Easiest 1-click way to create beautiful artwork on your PC using AI, with no tech knowledge. Provides a browser UI for generating images from text prompts and images. Just enter your text prompt, and see the generated image.","cmdr2, JeLuF, madrang",42,2022-08-23,2023-12-12,902259
openai/shap-e,Model repo,Multimodal,11221,5,0.04%,84,0.75%,876,Generate 3D objects conditioned on text or images,"unixpickle, heewooj, ahmadmustafaanis",8,2023-04-19,2023-11-08,0
LouisShark/chatgpt_system_prompt,Lists,Prompt engineering,7224,5,0.07%,45,0.62%,1062,A collection of GPT system prompts and various prompt injection/leaking knowledge.,"0xeb, LouisShark, WooodHead",8,2023-11-01,2024-03-07,0
facebookresearch/seamless_communication,Model repo,Multimodal,10035,5,0.05%,49,0.49%,937,Foundational Models for State-of-the-Art Speech and Text Translation,"cndn, kauterry, mavlyutovr",30,2023-08-01,2024-03-29,0
milvus-io/milvus,Infrastructure,VectorDB,26386,5,0.02%,91,0.34%,2541,"A cloud-native vector database, storage for next generation AI applications","JinHai-CN, congqixia, bigsheeper",100+,2019-09-16,2024-04-04,168221
FlagAlpha/Llama2-Chinese,Model repo,Multilingual,9069,5,0.06%,90,0.99%,844,Llama中文社区，最好的中文Llama大模型，完全开源可商用,"LlamaFamily, Rayrtfr, ZHangZHengEric",12,2023-07-19,2023-10-07,0
jina-ai/jina,Infrastructure,Toolings,19847,5,0.03%,26,0.13%,2173,☁️ Build multimodal AI applications with cloud-native stack,"hanxiao, JoanFM, nan-wang",100+,2020-02-13,2024-04-03,0
ParisNeo/lollms-webui,AI engineering,AI interface,3667,5,0.14%,24,0.65%,465,Lord of Large Language Models Web User Interface,"ParisNeo, andzejsp, blasphemousjohn",36,2023-04-06,2024-04-02,5413
google-deepmind/gemma,Model repo,Multimodal,1917,5,0.26%,37,1.93%,231,Open weights LLM from Google DeepMind.,"alimuldal, Molugan, osanseviero",5,2024-02-20,2024-03-26,0
llmware-ai/llmware,AI engineering,AIE framework,2988,5,0.17%,41,1.37%,251,"Providing enterprise-grade LLM-based development framework, tools, and fine-tuned models.","doberst, MacOS, turnham",19,2023-09-29,2024-04-03,0
openchatai/OpenCopilot,Applications,Workflow automation,4844,5,0.10%,23,0.47%,354,🤖 🔥 Language-to-actions engine ,"ah7255703, gharbat, codebanesr",13,2023-08-12,2024-03-29,0
QwenLM/Qwen-VL,Model repo,Multimodal,3454,5,0.14%,87,2.52%,258,The official repo of Qwen-VL (通义千问-VL) chat & pretrained large vision language model proposed by Alibaba Cloud.,"ShuaiBai623, jinze1994, simonJJJ",12,2023-08-21,2024-01-25,0
Unity-Technologies/ml-agents,Applications,Bots,16232,5,0.03%,28,0.17%,4049,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,"chriselion, vincentpierre, awjuliani",100+,2017-09-08,2024-03-14,87
IDEA-Research/GroundingDINO,Model repo,Multimodal,4726,5,0.11%,47,0.99%,490,"Official implementation of the paper ""Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection""","SlongLiu, rentainhe, SkalskiP",24,2023-03-09,2024-03-11,141157
Project-MONAI/MONAI,Model development,Modeling & training,5228,5,0.10%,23,0.44%,957,AI Toolkit for Healthcare Imaging,"wyli, Nic-Ma, rijobro",100+,2019-10-11,2024-04-04,0
agiresearch/OpenAGI,AI engineering,Agent,1648,4,0.24%,32,1.94%,126,OpenAGI: When LLM Meets Domain Experts,"TobyGE, evison, agiresearch",9,2023-04-08,2023-12-19,0
lutzroeder/netron,Tutorials,,25886,4,0.02%,70,0.27%,2654,"Visualizer for neural network, deep learning and machine learning models",lutzroeder,1,2010-12-26,1000-01-01,110099
allenai/dolma,Model development,Dataset engineering,718,4,0.56%,17,2.37%,70,Data and tools for generating and inspecting OLMo pre-training data. ,"soldni, chris-ha458, kyleclo",17,2023-06-20,2024-04-02,0
