name,full_name,topics,description,created_at,updated_at,stargazers_count,forks_count,license
ai,vercel/ai,"artificial-intelligence, generative-ai, generative-ui, huggingface, javascript, language-model, llm, nextjs, openai, react, solidjs, svelte, typescript, vercel, vue","Build AI-powered applications with React, Svelte, Vue, and Solid",2023-05-23,2024-04-07,7487,959,Other
awesome-project-ideas,NirantK/awesome-project-ideas,"awesome, awesome-list, classification, dataset, deep-learning, forecasting, image-classification, machine-learning, multi-label-classification, series-forecasting","Curated list of Machine Learning, NLP, Vision, Recommender Systems Project Ideas",2017-08-19,2024-04-07,7466,1215,MIT License
litellm,BerriAI/litellm,"anthropic, langchain, langchain-python, llm, llmops, openai","Call all LLM APIs using the OpenAI format. Use Bedrock, Azure, OpenAI, Cohere, Anthropic, Ollama, Sagemaker, HuggingFace, Replicate (100+ LLMs)",2023-07-27,2024-04-07,7423,816,Other
jetson-inference,dusty-nv/jetson-inference,"caffe, computer-vision, deep-learning, digits, embedded, image-recognition, inference, jetson, jetson-nano, jetson-tx1, jetson-tx2, jetson-xavier, jetson-xavier-nx, machine-learning, nvidia, object-detection, robotics, segmentation, tensorrt, video-analytics",Hello AI World guide to deploying deep-learning inference networks and deep vision primitives with TensorRT and NVIDIA Jetson.,2016-07-30,2024-04-07,7269,2903,MIT License
chatgpt_system_prompt,LouisShark/chatgpt_system_prompt,"gpt, prompt, prompt-engineering",A collection of GPT system prompts and various prompt injection/leaking knowledge.,2023-11-01,2024-04-07,7241,1063,MIT License
starcoder,bigcode-project/starcoder,no topic,Home of StarCoder: fine-tuning & inference!,2023-04-24,2024-04-07,7069,494,Apache License 2.0
nicegui,zauberzeug/nicegui,"frontend, gui, interaction, interface, interfaces, python, robotics, scripting, toolkit, webapp, website",Create web-based user interfaces with Python. The nice way.,2021-05-07,2024-04-07,7046,427,MIT License
activepieces,activepieces/activepieces,"automation, automation-tools, business-automation, datasources, enterprise-automation, hacktoberfest, integrations, llm, low-code, n8n, no-code, self-hosted, typescript, workato, workflow, workflow-automation, zapier",Your friendliest open source all-in-one automation tool ✨ Workflow automation tool 100+ integration / Enterprise automation tool / Zapier Alternative,2022-12-03,2024-04-07,6993,747,Other
txtai,neuml/txtai,"embeddings, information-retrieval, language-model, large-language-models, llm, machine-learning, neural-search, nlp, python, rag, retrieval-augmented-generation, search, search-engine, semantic-search, sentence-embeddings, transformers, txtai, vector-database, vector-search, vector-search-engine","💡 All-in-one open-source embeddings database for semantic search, LLM orchestration and language model workflows",2020-08-09,2024-04-07,6873,486,Apache License 2.0
PowerInfer,SJTU-IPADS/PowerInfer,"bamboo-7b, falcon, large-language-models, llama, llm, llm-inference, local-inference",High-speed Large Language Model Serving on PCs with Consumer-grade GPUs,2023-12-15,2024-04-07,6870,361,MIT License
burn,tracel-ai/burn,"autodiff, autotune, concurrency, cross-platform, deep-learning, high-performance, kernel-fusion, llm, machine-learning, ndarray, neural-network, onnx, pytorch, rust, scientific-computing, tensor, wasm, webgpu","Burn is a new comprehensive dynamic Deep Learning Framework built using Rust with extreme flexibility, compute efficiency and portability as its primary goals.",2022-07-18,2024-04-07,6832,303,Apache License 2.0
search_with_lepton,leptonai/search_with_lepton,"ai, ai-applications, leptonai, llm",Building a quick conversation-based search demo with Lepton AI.,2024-01-23,2024-04-07,6775,793,Apache License 2.0
data-scientist-roadmap,MrMimic/data-scientist-roadmap,no topic,"Toturials coming with the ""data science roadmap"" picture.",2017-06-05,2024-04-06,6757,1879,GNU General Public License v3.0
gpt-migrate,joshpxyne/gpt-migrate,no topic,Easily migrate your codebase from one framework or language to another.,2023-06-24,2024-04-07,6734,462,MIT License
Bert-VITS2,fishaudio/Bert-VITS2,"bert, bert-vits, bert-vits2, tts, vits, vits2",vits2 backbone with multilingual-bert,2023-07-29,2024-04-07,6654,952,GNU Affero General Public License v3.0
Chinese-LLaMA-Alpaca-2,ymcui/Chinese-LLaMA-Alpaca-2,"64k, alpaca, alpaca-2, alpaca2, flash-attention, large-language-models, llama, llama-2, llama2, llm, nlp, rlhf, yarn",中文LLaMA-2 & Alpaca-2大模型二期项目 + 64K超长上下文模型 (Chinese LLaMA-2 & Alpaca-2 LLMs with 64K long context models),2023-07-18,2024-04-07,6649,536,Apache License 2.0
awesome-langchain,kyrolabs/awesome-langchain,"ai, awesome, awesome-list, langchain, llm",😎 Awesome list of tools and projects with the awesome LangChain framework,2023-02-28,2024-04-07,6538,443,Creative Commons Zero v1.0 Universal
OpenNMT-py,OpenNMT/OpenNMT-py,"deep-learning, language-model, llms, machine-translation, neural-machine-translation, pytorch",Open Source Neural Machine Translation and (Large) Language Models in PyTorch,2017-02-22,2024-04-07,6537,2227,MIT License
GPTCache,zilliztech/GPTCache,"aigc, autogpt, babyagi, chatbot, chatgpt, chatgpt-api, dolly, gpt, langchain, llama, llama-index, llm, memcache, milvus, openai, redis, semantic-search, similarity-search, vector-search",Semantic cache for LLMs. Fully integrated with LangChain and llama_index. ,2023-03-24,2024-04-07,6347,449,MIT License
TensorRT-LLM,NVIDIA/TensorRT-LLM,no topic,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.,2023-08-16,2024-04-07,6266,624,Apache License 2.0
PentestGPT,GreyDGL/PentestGPT,"large-language-models, llm, penetration-testing, python",A GPT-empowered penetration testing tool,2023-02-27,2024-04-07,6262,751,MIT License
vanna,vanna-ai/vanna,"agent, ai, data-visualization, database, llm, rag, sql, text-to-sql",🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.,2023-05-13,2024-04-07,6158,392,MIT License
streaming-llm,mit-han-lab/streaming-llm,no topic,[ICLR 2024] Efficient Streaming Language Models with Attention Sinks,2023-09-29,2024-04-07,6127,348,MIT License
wenda,wenda-LLM/wenda,"chatglm-6b, chatrwkv, rwkv",闻达：一个LLM调用平台。目标为针对特定环境的高效内容生成，同时考虑个人和中小企业的计算资源局限性，以及知识安全和私密性问题,2023-03-25,2024-04-07,6067,781,GNU Affero General Public License v3.0
learning,amitness/learning,"codecademy, datacamp, deep-learning, learning-resources, machine-learning, python, udacity",A log of things I'm learning,2017-11-26,2024-04-07,6061,818,MIT License
openplayground,nat/openplayground,no topic,An LLM playground you can run on your laptop,2023-02-26,2024-04-07,6051,465,MIT License
opengpts,langchain-ai/opengpts,no topic,,2023-11-04,2024-04-07,6024,747,MIT License
E2B,e2b-dev/E2B,"agent, ai, ai-agent, ai-agents, code-interpreter, copilot, development, devtools, gpt, gpt-4, javascript, llm, nextjs, openai, python, react, software, typescript",Cloud Runtime for AI Agents,2023-03-04,2024-04-07,5984,360,Apache License 2.0
RSPapers,hongleizhang/RSPapers,"collaborative-filtering, deep-learning, deep-learning-based-rs, read-papers, recommender-system, social-recommendation, social-recommender, survey",A Curated List of Must-read Papers on Recommender System.,2018-01-30,2024-04-07,5871,1318,MIT License
llm,rustformers/llm,"ai, ggml, llm, ml, rust",An ecosystem of Rust libraries for working with large language models,2023-03-13,2024-04-07,5807,333,Apache License 2.0
rags,run-llama/rags,"agent, chatbot, chatgpt, gpts, llamaindex, llm, openai, rag, streamlit","Build ChatGPT over your data, all with natural language",2023-11-16,2024-04-07,5801,575,MIT License
lit-llama,Lightning-AI/lit-llama,no topic,"Implementation of the LLaMA language model based on nanoGPT. Supports flash attention, Int8 and GPTQ 4bit quantization, LoRA and LLaMA-Adapter fine-tuning, pre-training. Apache 2.0-licensed.",2023-03-22,2024-04-07,5751,496,Apache License 2.0
chat-ui,huggingface/chat-ui,"chatgpt, hacktoberfest, huggingface, llm, svelte, svelte-kit, sveltekit, tailwindcss, typescript",Open source codebase powering the HuggingChat app,2023-02-17,2024-04-07,5745,768,Apache License 2.0
ipex-llm,intel-analytics/ipex-llm,"analytics-zoo, bigdl, distributed-deep-learning, keras, llm, python, pytorch, scala, spark, tensorflow, transformers","Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, etc.) on Intel CPU and GPU (e.g., local PC with iGPU, discrete GPU such as Arc, Flex and Max). A PyTorch LLM library that seamlessly integrates with llama.cpp, HuggingFace, LangChain, LlamaIndex, DeepSpeed, vLLM, FastChat, ModelScope, etc.",2016-08-29,2024-04-07,5704,1186,Apache License 2.0
litgpt,Lightning-AI/litgpt,no topic,"Pretrain, finetune, deploy 20+ LLMs on your own data. Uses state-of-the-art techniques: flash attention, FSDP, 4-bit, LoRA, and more.",2023-05-04,2024-04-07,5701,604,Apache License 2.0
companion-app,a16z-infra/companion-app,no topic,AI companions with memory: a lightweight stack to create and host your own AI companions,2023-06-22,2024-04-07,5615,915,MIT License
unstructured,Unstructured-IO/unstructured,"data-pipelines, deep-learning, document-image-analysis, document-image-processing, document-parser, document-parsing, docx, donut, information-retrieval, langchain, llm, machine-learning, ml, natural-language-processing, nlp, ocr, pdf, pdf-to-json, pdf-to-text, preprocessing","Open source libraries and APIs to build custom preprocessing pipelines for labeling, training, or production machine learning pipelines. ",2022-09-26,2024-04-07,5605,410,Apache License 2.0
SillyTavern,SillyTavern/SillyTavern,"ai, characters, chat, llm, openai",LLM Frontend for Power Users.,2023-02-09,2024-04-07,5600,1746,GNU Affero General Public License v3.0
serge,serge-chat/serge,"alpaca, docker, fastapi, llama, llamacpp, nginx, python, svelte, sveltekit, tailwindcss, web","A web interface for chatting with Alpaca through llama.cpp. Fully dockerized, with an easy to use API.",2023-03-19,2024-04-07,5518,394,Apache License 2.0
BERTopic,MaartenGr/BERTopic,"bert, ldavis, machine-learning, nlp, sentence-embeddings, topic, topic-modeling, topic-modelling, topic-models, transformers",Leveraging BERT and c-TF-IDF to create easily interpretable topics. ,2020-09-22,2024-04-07,5481,687,MIT License
LLaMA-Adapter,OpenGVLab/LLaMA-Adapter,no topic,[ICLR 2024] Fine-tuning LLaMA to follow Instructions within 1 Hour and 1.2M Parameters,2023-03-19,2024-04-07,5454,356,GNU General Public License v3.0
FasterTransformer,NVIDIA/FasterTransformer,"bert, gpt, pytorch, transformer","Transformer related optimization, including BERT, GPT",2021-04-02,2024-04-07,5406,852,Apache License 2.0
Bard-API,dsdanielpark/Bard-API,"ai-api, api, bard, bard-api, chatbot, google, google-bard, google-bard-api, google-bard-python, google-maps-api, googlebard, llm, nlp",The unofficial python package that returns response of Google Bard through cookie value.,2023-05-11,2024-04-02,5396,538,MIT License
postgresml,postgresml/postgresml,"ai, ann, approximate-nearest-neighbor-search, artificial-intelligence, classification, clustering, embeddings, forecasting, javascript, knn, llm, machine-learning, ml, postgres, python, rag, regression, search, sql, vector-database","The GPU-powered AI application database. Get your app to market faster using the simplicity of SQL and the latest NLP, ML + LLM models.",2022-04-11,2024-04-07,5379,252,MIT License
bitsandbytes,TimDettmers/bitsandbytes,no topic,Accessible large language models via k-bit quantization for PyTorch.,2021-06-04,2024-04-07,5275,550,MIT License
Github-Ranking,EvanLi/Github-Ranking,"forks, github-rank, github-stars, python, ranking, stars",:star:Github Ranking:star: Github stars and forks ranking list. Github Top100 stars list of different languages. Automatically update daily. | Github仓库排名，每日自动更新,2018-12-16,2024-04-07,5193,380,MIT License
chainlit,Chainlit/chainlit,"chatgpt, langchain, llm, openai, openai-chatgpt, python, ui",Build Conversational AI in minutes ⚡️,2023-03-14,2024-04-07,5185,637,Apache License 2.0
generative-ai,GoogleCloudPlatform/generative-ai,"ai, embeddings, enterprise-search, gcp, gemini, gemini-api, generative, generative-ai, google-cloud, google-cloud-platform, langchain, llm, matching-engine, palm-api, prompt-engineering, vertex-ai, vertex-ai-gemini-api, vertex-ai-search, vertexai",Sample code and notebooks for Generative AI on Google Cloud,2023-05-05,2024-04-07,5171,1196,Apache License 2.0
bisheng,dataelement/bisheng,"agent, langchain, llm, llmdevops",Bisheng is an open LLM devops platform for next generation AI applications.,2023-08-28,2024-04-07,5144,859,Apache License 2.0
gemma.cpp,google/gemma.cpp,no topic,"lightweight, standalone C++ inference engine for Google's Gemma models.",2024-02-13,2024-04-07,5139,446,Apache License 2.0
Voyager,MineDojo/Voyager,"embodied-learning, large-language-models, minecraft, open-ended-learning",An Open-Ended Embodied Agent with Large Language Models,2023-05-25,2024-04-07,5099,474,MIT License
llm-action,liguodongiot/llm-action,"llm, llm-inference, llm-serving, llm-training, llmops",本项目旨在分享大模型相关技术原理以及实战经验。,2023-05-23,2024-04-07,5065,482,Apache License 2.0
InternLM,InternLM/InternLM,"chatbot, chinese, fine-tuning-llm, flash-attention, gpt, large-language-model, llm, long-context, pretrained-models, rlhf",Official release of InternLM2 7B and 20B base and chat models. 200K context support,2023-07-06,2024-04-07,5055,372,Apache License 2.0
xiaogpt,yihong0618/xiaogpt,"chatgpt, llms, python, xiaomi",Play ChatGPT and other LLM with Xiaomi AI Speaker,2023-02-16,2024-04-07,5035,719,MIT License
gpt-fast,pytorch-labs/gpt-fast,no topic,Simple and efficient pytorch-native transformer text generation in <1000 LOC of python.,2023-10-17,2024-04-07,5012,448,"BSD 3-Clause ""New"" or ""Revised"" License"
OpenCopilot,openchatai/OpenCopilot,"ai-copilot, copilot, llm, sidekick",🤖 🔥 Language-to-actions engine ,2023-08-12,2024-04-07,4845,356,MIT License
mlx-examples,ml-explore/mlx-examples,no topic,Examples in the MLX framework,2023-11-28,2024-04-07,4775,686,MIT License
CodeGen,salesforce/CodeGen,"codex, generativemodel, languagemodel, llm, programsynthesis, tpu-acceleration",CodeGen is a family of open-source model for program synthesis. Trained on TPU-v4. Competitive with OpenAI Codex.,2022-03-28,2024-04-07,4736,365,Apache License 2.0
lm-evaluation-harness,EleutherAI/lm-evaluation-harness,"evaluation-framework, language-model, transformer",A framework for few-shot evaluation of language models.,2020-08-28,2024-04-07,4726,1228,MIT License
khoj,khoj-ai/khoj,"agent, ai, chat, chatgpt, emacs, llamacpp, llm, markdown, mistral, obsidian-md, offline-llm, org-mode, productivity, pwa, rag, retrieval-augmented-generation, self-hosted, semantic-search, sentence-transformer, whatsapp-ai","Your AI second brain. A copilot to search and chat (using RAG) with your knowledge base (pdf, markdown, org). Use powerful, online (e.g gpt4) or private, local (e.g mistral) LLMs. Self-host locally or use our web app. Access from Obsidian, Emacs, Desktop app, Web or Whatsapp",2021-08-16,2024-04-07,4701,230,GNU Affero General Public License v3.0
flyte,flyteorg/flyte,"data, data-analysis, data-science, dataops, declarative, fine-tuning, flyte, golang, grpc, kubernetes, kubernetes-operator, llm, machine-learning, mlops, orchestration-engine, production, production-grade, python, scale, workflow","Scalable and flexible workflow orchestration platform that seamlessly unifies data, ML and analytics stacks.",2019-10-21,2024-04-06,4696,500,Apache License 2.0
plandex,plandex-ai/plandex,"ai, ai-agents, ai-developer-tools, ai-tools, cli, developer-tools, golang, gpt-4, llm, openai, polyglot-programming, terminal-based",An AI coding engine for complex tasks,2023-10-24,2024-04-07,4664,270,GNU Affero General Public License v3.0
marvin,PrefectHQ/marvin,"agents, ai, ai-functions, ambient-ai, chatbots, gpt, llm, nli, openai, python",✨ Build AI interfaces that spark joy,2023-03-10,2024-04-07,4644,297,Apache License 2.0
Awesome-GPT-Agents,fr0gger/Awesome-GPT-Agents,"agents, cybersecurity, infosec, llm",A curated list of GPT agents for cybersecurity,2023-11-11,2024-04-07,4631,512,Apache License 2.0
TaskWeaver,microsoft/TaskWeaver,"agent, ai-agents, code-interpreter, copilot, data-analysis, llm, openai",A code-first agent framework for seamlessly planning and executing data analytics tasks. ,2023-09-11,2024-04-07,4573,584,MIT License
openui,wandb/openui,no topic,"OpenUI let's you describe UI using your imagination, then see it rendered live.",2024-03-17,2024-04-07,4541,388,Apache License 2.0
awesome-generative-ai,steven2358/awesome-generative-ai,"ai, artificial-intelligence, awesome, awesome-list, generative-ai, generative-art, large-language-models, llm",A curated list of modern Generative Artificial Intelligence projects and services,2022-10-20,2024-04-07,4517,469,Creative Commons Zero v1.0 Universal
FlagEmbedding,FlagOpen/FlagEmbedding,"embeddings, information-retrieval, llm, retrieval-augmented-generation, sentence-embeddings, text-semantic-similarity",Retrieval and Retrieval-augmented LLMs,2023-08-02,2024-04-07,4506,295,MIT License
ai-notes,swyxio/ai-notes,"ai, gpt, gpt-3, multimodal, openai, prompt-engineering, stable-diffusion","notes for software engineers getting up to speed on new AI developments. Serves as datastore for https://latent.space writing, and product brainstorming, but has cleaned up canonical references under the /Resources folder.",2022-09-04,2024-04-07,4466,338,MIT License
agents,aiwaves-cn/agents,"autonomous-agents, language-model, llm",An Open-source Framework for Autonomous Language Agents,2023-07-18,2024-04-07,4458,332,Apache License 2.0
awesome-typescript,dzharii/awesome-typescript,no topic,A collection of awesome TypeScript resources for client-side and server-side development. Write your awesome JavaScript in TypeScript,2015-06-06,2024-04-07,4405,384,The Unlicense
awesome-totally-open-chatgpt,nichtdax/awesome-totally-open-chatgpt,"alternative, awesome, awesome-list, awesome-lists, chatgpt, open-source",A list of totally open alternatives to ChatGPT,2023-03-18,2024-04-07,4385,185,Creative Commons Zero v1.0 Universal
gateway,Portkey-AI/gateway,"ai-gateway, gateway, generative-ai, langchain, llama-index, llmops, llms, openai, prompt-engineering, router",A Blazing Fast AI Gateway. Route to 100+ LLMs with 1 fast & friendly API.,2023-08-23,2024-04-07,4313,267,MIT License
instructor,jxnl/instructor,"openai, openai-function-calli, openai-functions, pydantic-v2, python, validation",structured outputs for llms ,2023-06-14,2024-04-07,4298,343,MIT License
RedPajama-Data,togethercomputer/RedPajama-Data,no topic,The RedPajama-Data repository contains code for preparing large datasets for training large language models.,2023-04-14,2024-04-07,4282,325,Apache License 2.0
RWKV-Runner,josStorer/RWKV-Runner,"api, api-client, chatgpt, llm, rwkv, tool, wails","A RWKV management and startup tool, full automation, only 8MB. And provides an interface compatible with the OpenAI API. RWKV is a large language model that is fully open source and available for commercial use.",2023-05-05,2024-04-07,4258,396,MIT License
superagent,superagent-ai/superagent,"agent, ai, assistant, generative-ai, llm, open-source, python, rag",🥷 Run AI-agents with an API,2023-05-10,2024-04-07,4250,756,Other
ragas,explodinggradients/ragas,"llm, llmops",Evaluation framework for your Retrieval Augmented Generation (RAG) pipelines,2023-05-08,2024-04-07,4239,368,Apache License 2.0
Huatuo-Llama-Med-Chinese,SCIR-HI/Huatuo-Llama-Med-Chinese,"aidoctor, bloom, chinese, huozi, llama, llm, medgpt, medical, medqa, nlp","Repo for BenTsao [original name: HuaTuo (华驼)], Instruction-tuning Large Language Models with Chinese Medical Knowledge. 本草（原名：华驼）模型仓库，基于中文医学知识的大语言模型指令微调",2023-03-31,2024-04-06,4196,406,Apache License 2.0
CopilotKit,CopilotKit/CopilotKit,"ai, langchain, llm, nextjs, open-source, react, reactjs, ts, typescript","A framework for building custom AI Copilots 🤖 in-app AI chatbots, in-app AI Agents, & AI-powered Textareas.",2023-06-19,2024-04-07,4167,319,MIT License
Learn_Prompting,trigaten/Learn_Prompting,"chatgpt, chatgpt-api, deep-learning, gpt-3, gpt-4, gpt-4-api, gpt3, large-language-models, llm, machine-learning, nlp, openai-api, prompt-engineering, prompt-toolkit, prompt-tuning, prompting, transformers","Prompt Engineering, Generative AI, and LLM Guide by Learn Prompting | Join our discord for the largest Prompt Engineering learning community",2022-10-25,2024-04-05,4145,624,Other
awesome-pretrained-chinese-nlp-models,lonePatient/awesome-pretrained-chinese-nlp-models,"bert, chinese, dataset, ernie, gpt, gpt-2, large-language-models, llm, multimodel, nezha, nlp, nlu-nlg, pangu, pretrained-models, roberta, simbert, xlnet",Awesome Pretrained Chinese NLP Models，高质量中文预训练模型&大模型&多模态模型&大语言模型集合,2019-05-25,2024-04-07,4117,408,MIT License
awesome-gis,sshuair/awesome-gis,"awesome, geo, geospatial, geospatial-library, geotools, gis, map, spatial-analysis","😎Awesome GIS is a collection of geospatial related sources, including cartographic tools, geoanalysis tools, developer tools, data, conference & communities, news, massive open online course, some amazing map sites, and more.",2016-02-27,2024-04-04,4099,691,MIT License
tree-of-thought-llm,princeton-nlp/tree-of-thought-llm,"large-language-models, llm, prompting, tree-of-thoughts, tree-search",[NeurIPS 2023] Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023-05-17,2024-04-07,4092,374,MIT License
x-transformers,lucidrains/x-transformers,"artificial-intelligence, attention-mechanism, deep-learning, transformers",A simple but complete full-attention transformer with a set of promising experimental features from various papers,2020-10-24,2024-04-07,4076,351,MIT License
start-machine-learning,louisfb01/start-machine-learning,"artificial-intelligence, cheat-sheets, course, coursera, coursera-machine-learning, data-science, deep-learning, learn-to-code, learning, learning-python, linear-algebra, machine-learning, neural-networks, practice, probability-statistics, read-articles, tutorial, tutorials, youtube, youtube-playlist","A complete guide to start and improve in machine learning (ML), artificial intelligence (AI) in 2024 without ANY background in the field and stay up-to-date with the latest news and state-of-the-art techniques!",2020-09-24,2024-04-07,4075,545,MIT License
AppAgent,mnotgod96/AppAgent,"agent, chatgpt, generative-ai, gpt4, gpt4v, llm","AppAgent: Multimodal Agents as Smartphone Users, an LLM-based multimodal agent framework designed to operate smartphone apps.",2023-12-20,2024-04-07,4053,426,MIT License
FedML,FedML-AI/FedML,"ai-agent, deep-learning, distributed-training, edge-ai, federated-learning, inference-engine, machine-learning, mlops, model-deployment, model-serving, on-device-training","FEDML - The unified and scalable ML library for large-scale distributed training, model serving, and federated learning. FEDML Launch, a cross-cloud scheduler, further enables running any AI jobs on any GPU cloud or on-premise cluster. Built on this library, FEDML Nexus AI (https://fedml.ai) is your generative AI platform at scale.",2020-07-21,2024-04-07,4042,758,Apache License 2.0
tree-of-thoughts,kyegomez/tree-of-thoughts,"artificial-intelligence, chatgpt, deep-learning, gpt4, multimodal, prompt, prompt-engineering, prompt-learning, prompt-tuning",Plug in and Play Implementation of Tree of Thoughts: Deliberate Problem Solving with Large Language Models that Elevates Model Reasoning by atleast 70% ,2023-05-21,2024-04-07,4001,339,Apache License 2.0
GodMode,smol-ai/GodMode,"bard, chatgpt, electron, google, menubar","AI Chat Browser: Fast, Full webapp access to ChatGPT / Claude / Bard / Bing / Llama2! I use this 20 times a day.",2023-05-15,2024-04-06,3977,297,MIT License
awesome-LLMs-In-China,wgwang/awesome-LLMs-In-China,no topic,中国大模型,2023-05-22,2024-04-07,3972,344,Apache License 2.0
serve,pytorch/serve,"cpu, deep-learning, docker, gpu, kubernetes, machine-learning, metrics, mlops, optimization, pytorch, serving","Serve, optimize and scale PyTorch models in production",2019-10-03,2024-04-06,3935,800,Apache License 2.0
GPT-4-LLM,Instruction-Tuning-with-GPT-4/GPT-4-LLM,"alpaca, chatgpt, gpt-4, instruction-tuning, llama",Instruction Tuning with GPT-4,2023-04-06,2024-04-07,3927,287,Apache License 2.0
ai-getting-started,a16z-infra/ai-getting-started,no topic,"A Javascript AI getting started stack for weekend projects, including image/text models, vector stores, auth, and deployment configs",2023-06-16,2024-04-07,3897,621,MIT License
saas,async-labs/saas,"aws-s3, aws-ses, boilerplate, express, google-api, mailchimp, material-ui, mobx, mongodb, mongoose, nextjs, passport, react, saas, saas-boilerplate, saas-business, saas-product, typescript","Build your own SaaS business with SaaS boilerplate. Productive stack: React, Material-UI, Next, MobX, WebSockets, Express, Node, Mongoose, MongoDB. Written with TypeScript.",2018-04-06,2024-04-07,3876,657,MIT License
TaskingAI,TaskingAI/TaskingAI,"agent, ai, ai-native, function-call, generative-ai, gpt, langchain, llm, rag, retrieval-augmented-generation, vector",The open source platform for AI-native application development.,2024-01-08,2024-04-07,3829,220,Apache License 2.0
Awesome-Geospatial,sacridini/Awesome-Geospatial,"awesome, awesome-list, data-analysis, deep-learning, earth-observation, geoprocessing, geospatial, geospatial-analysis, geotools, gis, machine-learning, map, remote-sensing, spatial-analysis, spatial-data",Long list of geospatial tools and resources,2016-05-06,2024-04-07,3817,597,Creative Commons Zero v1.0 Universal
gpt-llm-trainer,mshumer/gpt-llm-trainer,no topic,,2023-08-09,2024-04-07,3704,461,MIT License
lollms-webui,ParisNeo/lollms-webui,"ai, llm, text-generation",Lord of Large Language Models Web User Interface,2023-04-06,2024-04-06,3681,468,Apache License 2.0
LLocalSearch,nilsherzig/LLocalSearch,"llm, search-engine",LLocalSearch is a completely locally running search aggregator using LLM Agents. The user can ask a question and the system will use a chain of LLMs to find the answer. The user can see the progress of the agents and the final answer. No OpenAI or Google API keys are needed.,2024-03-23,2024-04-07,3658,184,Apache License 2.0
spark-nlp,JohnSnowLabs/spark-nlp,"albert, bert, entity-extraction, language-detection, language-model, lemmatizer, llm, machine-translation, named-entity-recognition, natural-language-processing, nlp, part-of-speech-tagger, pyspark, question-answering, sentiment-analysis, spark, spell-checker, tensorflow, text-classification, transformers",State of the Art Natural Language Processing,2017-09-24,2024-04-07,3656,697,Apache License 2.0
AutoGPTQ,AutoGPTQ/AutoGPTQ,"deep-learning, inference, large-language-models, llms, nlp, pytorch, quantization, transformer, transformers","An easy-to-use LLMs quantization package with user-friendly apis, based on GPTQ algorithm.",2023-04-13,2024-04-07,3656,364,MIT License
llm-foundry,mosaicml/llm-foundry,"deep-learning, llm, neural-networks, nlp, pytorch",LLM training code for MosaicML foundation models,2023-04-28,2024-04-07,3644,458,Apache License 2.0
codeinterpreter-api,shroominic/codeinterpreter-api,"chatgpt, chatgpt-code-generation, code-interpreter, codeinterpreter, langchain, llm-agent",👾 Open source implementation of the ChatGPT Code Interpreter,2023-07-10,2024-04-07,3624,389,MIT License
big-AGI,enricoros/big-AGI,"agi, anthropic, beam, chatgpt, chatgpt-ui, generative-ai, gpt, gpt-4, gpt-5, groq, large-language-models, mistral, multimodal, openai, openai-api, stable-diffusion, ui","Generative AI suite powered by state-of-the-art models and providing advanced AI/AGI functions. It features AI personas, AGI functions, multi-model chats, text-to-image, voice, response streaming, code highlighting and execution, PDF import, presets for developers, much more. Deploy on-prem or in the cloud.",2023-03-19,2024-04-07,3624,848,MIT License
zenml,zenml-io/zenml,"ai, automl, data-science, deep-learning, devops-tools, hacktoberfest, llm, llmops, machine-learning, metadata-tracking, ml, mlops, pipelines, production-ready, pytorch, tensorflow, workflow, zenml","ZenML 🙏: Build portable, production-ready MLOps pipelines. https://zenml.io.",2020-11-19,2024-04-07,3623,396,Apache License 2.0
alignment-handbook,huggingface/alignment-handbook,"llm, rlhf, transformers",Robust recipes to align language models with human and AI preferences,2023-08-25,2024-04-07,3622,281,Apache License 2.0
UFO,microsoft/UFO,"agent, automation, copilot, gui, llm, windows",A UI-Focused Agent for Windows OS Interaction.,2024-01-08,2024-04-07,3589,417,MIT License
paper-qa,whitead/paper-qa,"chatgpt, nlp, question-answering",LLM Chain for answering questions from documents with citations,2023-02-05,2024-04-07,3576,337,Apache License 2.0
llm-workflow-engine,llm-workflow-engine/llm-workflow-engine,"chatbot, chatgpt, gpt-3, gpt3, gpt4, llm, openai, python",Power CLI and Workflow manager for LLMs (core package),2022-12-03,2024-04-07,3575,473,MIT License
AgentVerse,OpenBMB/AgentVerse,"agent, ai, gpt, gpt-4, llm","🤖 AgentVerse 🪐 is designed to facilitate the deployment of multiple LLM-based agents in various applications, which primarily provides two frameworks: task-solving and simulation",2023-05-06,2024-04-07,3573,332,Apache License 2.0
ChatGLM-Efficient-Tuning,hiyouga/ChatGLM-Efficient-Tuning,"alpaca, chatglm, chatglm2, chatgpt, fine-tuning, huggingface, language-model, lora, peft, pytorch, qlora, rlhf, transformers",Fine-tuning ChatGLM-6B with PEFT | 基于 PEFT 的高效 ChatGLM 微调,2023-04-08,2024-04-07,3550,454,Apache License 2.0
